model,variableType,variable,alternative,units,latentClass,value
modeChoice,Path,longBikeDist,bike,util/sec,othdiscr,-2.79
modeChoice,Path,longBikeDist,bike,util/sec,atwork,-2.79
modeChoice,Path,longBikeDist,bike,util/sec,Nonwork,-2.79
modeChoice,Path,longBikeDist,car,util/sec,work,0
modeChoice,Path,longBikeDist,car,util/sec,Work,0
modeChoice,Path,longBikeDist,car,util/sec,univ,0
modeChoice,Path,longBikeDist,car,util/sec,school,0
modeChoice,Path,longBikeDist,car,util/sec,escort,0
modeChoice,Path,longBikeDist,car,util/sec,shopping,0
modeChoice,Path,longBikeDist,car,util/sec,eatout,0
modeChoice,Path,longBikeDist,car,util/sec,othmaint,0
modeChoice,Path,longBikeDist,car,util/sec,social,0
modeChoice,Path,longBikeDist,car,util/sec,othdiscr,0
modeChoice,Path,longBikeDist,car,util/sec,atwork,0
modeChoice,Path,longBikeDist,car,util/sec,Nonwork,0
modeChoice,Path,longBikeDist,drive_transit,util/sec,work,0
modeChoice,Path,longBikeDist,drive_transit,util/sec,Work,0
modeChoice,Path,longBikeDist,drive_transit,util/sec,univ,0
modeChoice,Path,longBikeDist,drive_transit,util/sec,school,0
modeChoice,Path,longBikeDist,drive_transit,util/sec,escort,0
modeChoice,Path,longBikeDist,drive_transit,util/sec,shopping,0
modeChoice,Path,longBikeDist,drive_transit,util/sec,eatout,0
modeChoice,Path,longBikeDist,drive_transit,util/sec,othmaint,0
modeChoice,Path,longBikeDist,drive_transit,util/sec,social,0
modeChoice,Path,longBikeDist,drive_transit,util/sec,othdiscr,0
modeChoice,Path,longBikeDist,drive_transit,util/sec,atwork,0
modeChoice,Path,longBikeDist,drive_transit,util/sec,Nonwork,0
modeChoice,Path,longBikeDist,ride_hail,util/sec,work,0
modeChoice,Path,longBikeDist,ride_hail,util/sec,Work,0
modeChoice,Path,longBikeDist,ride_hail,util/sec,univ,0
modeChoice,Path,longBikeDist,ride_hail,util/sec,school,0
modeChoice,Path,longBikeDist,ride_hail,util/sec,escort,0
modeChoice,Path,longBikeDist,ride_hail,util/sec,shopping,0
modeChoice,Path,longBikeDist,ride_hail,util/sec,eatout,0
modeChoice,Path,longBikeDist,ride_hail,util/sec,othmaint,0
modeChoice,Path,longBikeDist,ride_hail,util/sec,social,0
modeChoice,Path,longBikeDist,ride_hail,util/sec,othdiscr,0
modeChoice,Path,longBikeDist,ride_hail,util/sec,atwork,0
modeChoice,Path,longBikeDist,ride_hail,util/sec,Nonwork,0
modeChoice,Path,longBikeDist,walk,util/sec,work,0
modeChoice,Path,longBikeDist,walk,util/sec,Work,0
modeChoice,Path,longBikeDist,walk,util/sec,univ,0
modeChoice,Path,longBikeDist,walk,util/sec,school,0
modeChoice,Path,longBikeDist,walk,util/sec,escort,0
modeChoice,Path,longBikeDist,walk,util/sec,shopping,0
modeChoice,Path,longBikeDist,walk,util/sec,eatout,0
modeChoice,Path,longBikeDist,walk,util/sec,othmaint,0
modeChoice,Path,longBikeDist,walk,util/sec,social,0
modeChoice,Path,longBikeDist,walk,util/sec,othdiscr,0
modeChoice,Path,longBikeDist,walk,util/sec,atwork,0
modeChoice,Path,longBikeDist,walk,util/sec,Nonwork,0
modeChoice,Path,longBikeDist,walk_transit,util/sec,work,0
modeChoice,Path,longBikeDist,walk_transit,util/sec,Work,0
modeChoice,Path,longBikeDist,walk_transit,util/sec,univ,0
modeChoice,Path,longBikeDist,walk_transit,util/sec,school,0
modeChoice,Path,longBikeDist,walk_transit,util/sec,escort,0
modeChoice,Path,longBikeDist,walk_transit,util/sec,shopping,0
modeChoice,Path,longBikeDist,walk_transit,util/sec,eatout,0
modeChoice,Path,longBikeDist,walk_transit,util/sec,othmaint,0
modeChoice,Path,longBikeDist,walk_transit,util/sec,social,0
modeChoice,Path,longBikeDist,walk_transit,util/sec,othdiscr,0
modeChoice,Path,longBikeDist,walk_transit,util/sec,atwork,0
modeChoice,Path,longBikeDist,walk_transit,util/sec,Nonwork,0
modeChoice,Path,egressTime,bike,util/sec,work,0
modeChoice,Path,egressTime,bike,util/sec,Work,0
modeChoice,Path,egressTime,bike,util/sec,univ,0
modeChoice,Path,egressTime,bike,util/sec,school,0
modeChoice,Path,egressTime,bike,util/sec,escort,0
modeChoice,Path,egressTime,bike,util/sec,shopping,0
modeChoice,Path,egressTime,bike,util/sec,eatout,0
modeChoice,Path,egressTime,bike,util/sec,othmaint,0
modeChoice,Path,egressTime,bike,util/sec,social,0
modeChoice,Path,egressTime,bike,util/sec,othdiscr,0
modeChoice,Path,egressTime,bike,util/sec,atwork,0
modeChoice,Path,egressTime,bike,util/sec,Nonwork,0
modeChoice,Path,egressTime,car,util/sec,work,0
modeChoice,Path,egressTime,car,util/sec,Work,0
modeChoice,Path,egressTime,car,util/sec,univ,0
modeChoice,Path,egressTime,car,util/sec,school,0
modeChoice,Path,egressTime,car,util/sec,escort,0
modeChoice,Path,egressTime,car,util/sec,shopping,0
modeChoice,Path,egressTime,car,util/sec,eatout,0
modeChoice,Path,egressTime,car,util/sec,othmaint,0
modeChoice,Path,egressTime,car,util/sec,social,0
modeChoice,Path,egressTime,car,util/sec,othdiscr,0
modeChoice,Path,egressTime,car,util/sec,atwork,0
modeChoice,Path,egressTime,car,util/sec,Nonwork,0
modeChoice,Path,egressTime,drive_transit,util/sec,work,-0.044
modeChoice,Path,egressTime,drive_transit,util/sec,Work,-0.044
modeChoice,Path,egressTime,drive_transit,util/sec,univ,-0.054
modeChoice,Path,egressTime,drive_transit,util/sec,school,-0.054
modeChoice,Path,egressTime,drive_transit,util/sec,escort,-0.056
modeChoice,Path,egressTime,drive_transit,util/sec,shopping,-0.056
modeChoice,Path,egressTime,drive_transit,util/sec,eatout,-0.056
modeChoice,Path,egressTime,drive_transit,util/sec,othmaint,-0.056
modeChoice,Path,egressTime,drive_transit,util/sec,social,-0.056
modeChoice,Path,egressTime,drive_transit,util/sec,othdiscr,-0.056
modeChoice,Path,egressTime,drive_transit,util/sec,atwork,-0.056
modeChoice,Path,egressTime,drive_transit,util/sec,Nonwork,-0.056
modeChoice,Path,egressTime,ride_hail,util/sec,work,0
modeChoice,Path,egressTime,ride_hail,util/sec,Work,0
modeChoice,Path,egressTime,ride_hail,util/sec,univ,0
modeChoice,Path,egressTime,ride_hail,util/sec,school,0
modeChoice,Path,egressTime,ride_hail,util/sec,escort,0
modeChoice,Path,egressTime,ride_hail,util/sec,shopping,0
modeChoice,Path,egressTime,ride_hail,util/sec,eatout,0
modeChoice,Path,egressTime,ride_hail,util/sec,othmaint,0
modeChoice,Path,egressTime,ride_hail,util/sec,social,0
modeChoice,Path,egressTime,ride_hail,util/sec,othdiscr,0
modeChoice,Path,egressTime,ride_hail,util/sec,atwork,0
modeChoice,Path,egressTime,ride_hail,util/sec,Nonwork,0
modeChoice,Path,egressTime,walk,util/sec,work,0
modeChoice,Path,egressTime,walk,util/sec,Work,0
modeChoice,Path,egressTime,walk,util/sec,univ,0
modeChoice,Path,egressTime,walk,util/sec,school,0
modeChoice,Path,egressTime,walk,util/sec,escort,0
modeChoice,Path,egressTime,walk,util/sec,shopping,0
modeChoice,Path,egressTime,walk,util/sec,eatout,0
modeChoice,Path,egressTime,walk,util/sec,othmaint,0
modeChoice,Path,egressTime,walk,util/sec,social,0
modeChoice,Path,egressTime,walk,util/sec,othdiscr,0
modeChoice,Path,egressTime,walk,util/sec,atwork,0
modeChoice,Path,egressTime,walk,util/sec,Nonwork,0
modeChoice,Path,egressTime,walk_transit,util/sec,work,0
modeChoice,Path,egressTime,walk_transit,util/sec,Work,0
modeChoice,Path,egressTime,walk_transit,util/sec,univ,0
modeChoice,Path,egressTime,walk_transit,util/sec,school,0
modeChoice,Path,egressTime,walk_transit,util/sec,escort,0
modeChoice,Path,egressTime,walk_transit,util/sec,shopping,0
modeChoice,Path,egressTime,walk_transit,util/sec,eatout,0
modeChoice,Path,egressTime,walk_transit,util/sec,othmaint,0
modeChoice,Path,egressTime,walk_transit,util/sec,social,0
modeChoice,Path,egressTime,walk_transit,util/sec,othdiscr,0
modeChoice,Path,egressTime,walk_transit,util/sec,atwork,0
modeChoice,Path,egressTime,walk_transit,util/sec,Nonwork,0
