primary_purpose,autoWorkRatio,mode,tripTotals,tripPercents
othmaint,auto_sufficient,drive_transit,368,0.10512423513549028
othmaint,auto_sufficient,hov2,73725,21.060554987402234
othmaint,auto_sufficient,hov3,112215,32.0557501242637
othmaint,auto_sufficient,ride_hail,2684,0.7667213236512389
othmaint,auto_sufficient,ride_hail_pooled,2155,0.6156052356439716
othmaint,auto_sufficient,walk,19723,5.634144808633899
othmaint,auto_sufficient,walk_transit,3670,1.0483857145305688
othmaint,no_auto,bike,22831,23.06115027979233
othmaint,no_auto,hov2,14683,14.831013514878489
othmaint,no_auto,hov3,3036,3.0666047150562616
othmaint,no_auto,ride_hail,422,0.4262540150704026
othmaint,no_auto,ride_hail_pooled,299,0.3020141007252379
othmaint,no_auto,walk,29547,29.844851619159208
othmaint,no_auto,walk_transit,28184,28.468111755318077
school,auto_deficient,bike,1858,2.707152535952093
school,auto_deficient,car,10573,15.405125814112743
school,auto_deficient,drive_transit,354,0.515786866376233
school,auto_deficient,hov2,9993,14.560051287281627
school,auto_deficient,hov3,34653,50.490288928066676
school,auto_deficient,ride_hail,2,0.0029140500925210902
school,auto_deficient,ride_hail_pooled,2,0.0029140500925210902
school,auto_deficient,walk,7342,10.697477889644922
school,auto_deficient,walk_transit,3856,5.618288578380662
school,auto_sufficient,bike,18707,2.158038511764407
school,auto_sufficient,car,86582,9.988094853562085
school,auto_sufficient,drive_transit,1212,0.1398162546778458
school,auto_sufficient,hov2,156012,17.99753591155122
school,auto_sufficient,hov3,524003,60.4489578382469
school,auto_sufficient,ride_hail,46,0.0053065575207763265
school,auto_sufficient,ride_hail_pooled,42,0.004845117736360994
school,auto_sufficient,walk,69952,8.06965894985534
school,auto_sufficient,walk_transit,10296,1.1877460050850666
school,no_auto,bike,72,0.0263349439102271
school,no_auto,hov2,20217,7.394632792125852
school,no_auto,hov3,8254,3.019008708819646
school,no_auto,walk,164484,60.16217936291382
school,no_auto,walk_transit,80374,29.39784419223046
shopping,auto_deficient,bike,882,2.520720205773078
shopping,auto_deficient,car,12196,34.8556730494427
shopping,auto_deficient,drive_transit,26,0.07430694484138325
shopping,auto_deficient,hov2,11432,32.67219205487282
shopping,auto_deficient,hov3,7542,21.554729922835094
shopping,auto_deficient,ride_hail,272,0.7773649614175479
shopping,auto_deficient,ride_hail_pooled,284,0.8116604744212632
shopping,auto_deficient,walk,2017,5.764504144041155
shopping,auto_deficient,walk_transit,339,0.9688482423549586
shopping,auto_sufficient,bike,3916,0.5885677183532128
shopping,auto_sufficient,car,227513,34.19479246825702
shopping,auto_sufficient,drive_transit,326,0.04899721046556368
shopping,auto_sufficient,hov2,158512,23.824066948826474
shopping,auto_sufficient,hov3,245883,36.95577024817238
shopping,auto_sufficient,ride_hail,4109,0.6175752693343594
shopping,auto_sufficient,ride_hail_pooled,4836,0.7268420546363986
shopping,auto_sufficient,walk,15441,2.3207543766833396
shopping,auto_sufficient,walk_transit,4808,0.7226337052712581
shopping,no_auto,bike,12039,6.377805089953593
shopping,no_auto,hov2,60175,31.87843020915005
shopping,no_auto,hov3,8632,4.572905850691869
shopping,no_auto,ride_hail,521,0.27600601809667097
shopping,no_auto,ride_hail_pooled,574,0.3040834057341442
shopping,no_auto,walk,63446,33.61128181220995
shopping,no_auto,walk_transit,43377,22.97948761416372
social,auto_deficient,bike,335,3.8732801479939876
social,auto_deficient,car,1499,17.33148340848653
social,auto_deficient,drive_transit,6,0.0693721817551162
social,auto_deficient,hov2,1561,18.04832928662273
social,auto_deficient,hov3,3245,37.51878829922534
social,auto_deficient,ride_hail,63,0.72840790842872
social,auto_deficient,ride_hail_pooled,46,0.5318533934558909
social,auto_deficient,walk,1879,21.725054919643892
social,auto_deficient,walk_transit,15,0.1734304543877905
social,auto_sufficient,bike,5542,3.530206130404872
social,auto_sufficient,car,38163,24.309501363161516
social,auto_sufficient,drive_transit,8,0.0050959308991770065
social,auto_sufficient,hov2,18985,12.093281015109435
social,auto_sufficient,hov3,62689,39.93235151731342
social,auto_sufficient,ride_hail,1259,0.8019721252579816
social,auto_sufficient,ride_hail_pooled,936,0.5962239152037099
social,auto_sufficient,walk,28993,18.46829056997987
social,auto_sufficient,walk_transit,413,0.263077432670013
social,no_auto,bike,3934,8.261234775304494
social,no_auto,hov2,13792,28.96262074758505
social,no_auto,hov3,231,0.48509029819403615
social,no_auto,ride_hail,87,0.18269634607307852
social,no_auto,ride_hail_pooled,49,0.10289794204115918
social,no_auto,walk,25200,52.91894162116758
social,no_auto,walk_transit,4327,9.086518269634606
univ,auto_deficient,bike,5,0.04527755139002083
univ,auto_deficient,car,1131,10.241782124422711
univ,auto_deficient,drive_transit,12,0.10866612333604998
univ,auto_deficient,hov2,3247,29.403241872679526
univ,auto_deficient,hov3,1347,12.19777234447161
univ,auto_deficient,ride_hail,6,0.05433306166802499
univ,auto_deficient,ride_hail_pooled,7,0.06338857194602916
univ,auto_deficient,walk,1918,17.36846871321199
univ,auto_deficient,walk_transit,3370,30.51706963687404
univ,auto_sufficient,bike,5216,5.027760641579272
univ,auto_sufficient,car,39122,37.71013263417643
univ,auto_sufficient,drive_transit,2070,1.995296113510179
univ,auto_sufficient,hov2,16686,16.083821714990744
univ,auto_sufficient,hov3,12221,11.779958359037632
univ,auto_sufficient,ride_hail,10,0.009639111659469464
univ,auto_sufficient,ride_hail_pooled,26,0.025061690314620605
univ,auto_sufficient,walk,15282,14.730490438001235
univ,auto_sufficient,walk_transit,13111,12.637839296730412
univ,no_auto,bike,7425,14.85
univ,no_auto,hov2,3544,7.088
univ,no_auto,walk,7490,14.979999999999999
univ,no_auto,walk_transit,31541,63.08200000000001
work,auto_deficient,bike,5069,2.6625276416486763
work,auto_deficient,car,93622,49.17560916678485
work,auto_deficient,drive_transit,886,0.4653776860328916
work,auto_deficient,hov2,39927,20.97193551945289
work,auto_deficient,hov3,26396,13.864683296302715
work,auto_deficient,ride_hail,51,0.026788106080900084
work,auto_deficient,ride_hail_pooled,15,0.007878854729676494
work,auto_deficient,walk,8851,4.64904954749111
work,auto_deficient,walk_transit,15566,8.176150181476286
work,auto_sufficient,bike,18597,1.1454218234361546
work,auto_sufficient,car,1138560,70.12590586070164
work,auto_sufficient,drive_transit,6358,0.3916003631449734
work,auto_sufficient,hov2,192321,11.845387455238193
work,auto_sufficient,hov3,177136,10.91011669173451
work,auto_sufficient,ride_hail,307,0.018908668053712933
work,auto_sufficient,ride_hail_pooled,141,0.008684437119132
work,auto_sufficient,walk,52848,3.2550009423538153
work,auto_sufficient,walk_transit,37326,2.2989737582178793
work,no_auto,bike,58442,10.6947507114035
work,no_auto,hov2,111171,20.344035647949056
work,no_auto,hov3,62809,11.493901602144733
work,no_auto,ride_hail,143,0.026168668966337575
work,no_auto,ride_hail_pooled,12,0.0021959722209514048
work,no_auto,walk,105625,19.329130486499345
work,no_auto,walk_transit,208253,38.10981691081608
