iteration,primary_purpose,autoWorkRatio,mode,tripTotals,tripPercents
1,othdiscr,auto_sufficient,ride_hail_pooled,7,0.016816412818911258
1,othdiscr,auto_sufficient,ride_hail_transit,1,0.002402344688415894
1,othdiscr,auto_sufficient,walk,6218,14.93777927257003
1,othdiscr,auto_sufficient,walk_transit,1633,3.9230288761831544
1,othdiscr,no_auto,bike,716,5.771400935031436
1,othdiscr,no_auto,bike_transit,396,3.192003869095599
1,othdiscr,no_auto,hov2,1643,13.243591810414316
1,othdiscr,no_auto,hov3,886,7.141705626309849
1,othdiscr,no_auto,ride_hail,111,0.8947283572464937
1,othdiscr,no_auto,ride_hail_pooled,11,0.08866677414154442
1,othdiscr,no_auto,walk,4683,37.74786393680477
1,othdiscr,no_auto,walk_transit,3960,31.920038690955987
1,othmaint,auto_deficient,bike,95,6.440677966101695
1,othmaint,auto_deficient,bike_transit,28,1.8983050847457625
1,othmaint,auto_deficient,car,500,33.89830508474576
1,othmaint,auto_deficient,hov2,122,8.271186440677965
1,othmaint,auto_deficient,hov3,161,10.915254237288135
1,othmaint,auto_deficient,ride_hail,19,1.2881355932203389
1,othmaint,auto_deficient,ride_hail_pooled,3,0.2033898305084746
1,othmaint,auto_deficient,walk,420,28.474576271186443
1,othmaint,auto_deficient,walk_transit,127,8.610169491525424
1,othmaint,auto_sufficient,bike,633,2.3831036819516602
1,othmaint,auto_sufficient,bike_transit,174,0.6550711542805512
1,othmaint,auto_sufficient,car,16058,60.454785031247646
1,othmaint,auto_sufficient,drive_transit,20,0.075295534974776
1,othmaint,auto_sufficient,hov2,1844,6.942248324674346
1,othmaint,auto_sufficient,hov3,3026,11.392214441683608
1,othmaint,auto_sufficient,ride_hail,60,0.225886604924328
1,othmaint,auto_sufficient,ride_hail_pooled,7,0.0263534372411716
1,othmaint,auto_sufficient,walk,3682,13.861907988856261
1,othmaint,auto_sufficient,walk_transit,1058,3.98313380016565
1,othmaint,no_auto,bike,885,12.039178343082574
1,othmaint,no_auto,bike_transit,314,4.271527683308393
1,othmaint,no_auto,hov2,452,6.148823289348388
1,othmaint,no_auto,hov3,154,2.094953067609849
1,othmaint,no_auto,ride_hail,51,0.6937831587539111
1,othmaint,no_auto,ride_hail_pooled,16,0.21765746156985444
1,othmaint,no_auto,walk,2436,33.13834852401034
1,othmaint,no_auto,walk_transit,3043,41.39572847231669
1,school,auto_deficient,bike,275,5.485737083582685
1,school,auto_deficient,bike_transit,79,1.575902653101935
1,school,auto_deficient,car,235,4.687811689607021
1,school,auto_deficient,drive_transit,11,0.21942948334330742
1,school,auto_deficient,hov2,557,11.11111111111111
1,school,auto_deficient,hov3,1914,38.18073010173549
1,school,auto_deficient,ride_hail,9,0.17953321364452424
1,school,auto_deficient,ride_hail_pooled,5,0.0997406742469579
1,school,auto_deficient,walk,1481,29.54318771194893
1,school,auto_deficient,walk_transit,447,8.916816277678038
1,school,auto_sufficient,bike,2253,3.6788478495150385
1,school,auto_sufficient,bike_transit,413,0.674373795761079
1,school,auto_sufficient,car,13971,22.81277554619379
1,school,auto_sufficient,drive_transit,23,0.03755592567192449
1,school,auto_sufficient,hov2,6851,11.186767251232814
1,school,auto_sufficient,hov3,24119,39.3831030991803
1,school,auto_sufficient,ride_hail,58,0.0947062473465922
1,school,auto_sufficient,ride_hail_pooled,34,0.055517455341105776
1,school,auto_sufficient,walk,11461,18.714281048953332
1,school,auto_sufficient,walk_transit,2059,3.3620717808040235
1,school,no_auto,bike,291,1.489252814738997
1,school,no_auto,bike_transit,717,3.669396110542477
1,school,no_auto,hov2,2070,10.59365404298874
1,school,no_auto,hov3,251,1.2845445240532243
1,school,no_auto,walk,9058,46.356192425793246
1,school,no_auto,walk_transit,7153,36.606960081883315
1,shopping,auto_deficient,bike,195,7.027027027027027
1,shopping,auto_deficient,bike_transit,42,1.5135135135135136
1,shopping,auto_deficient,car,826,29.765765765765767
1,shopping,auto_deficient,drive_transit,2,0.07207207207207207
1,shopping,auto_deficient,hov2,249,8.972972972972974
1,shopping,auto_deficient,hov3,239,8.612612612612612
1,shopping,auto_deficient,ride_hail,24,0.8648648648648649
1,shopping,auto_deficient,ride_hail_pooled,2,0.07207207207207207
1,shopping,auto_deficient,walk,882,31.783783783783782
1,shopping,auto_deficient,walk_transit,314,11.315315315315315
1,shopping,auto_sufficient,bike,1388,2.6744768584531196
1,shopping,auto_sufficient,bike_transit,405,0.780376893136537
1,shopping,auto_sufficient,car,30816,59.37801071332228
1,shopping,auto_sufficient,drive_transit,24,0.04624455663031331
1,shopping,auto_sufficient,hov2,4040,7.78450036610274
1,shopping,auto_sufficient,hov3,6022,11.603530001156113
1,shopping,auto_sufficient,ride_hail,113,0.21773478746772518
1,shopping,auto_sufficient,ride_hail_pooled,16,0.030829704420208874
1,shopping,auto_sufficient,walk,6838,13.175844926586766
1,shopping,auto_sufficient,walk_transit,2236,4.30845119272419
1,shopping,no_auto,bike,900,6.289308176100629
1,shopping,no_auto,bike_transit,599,4.185883997204752
1,shopping,no_auto,hov2,1121,7.833682739343116
1,shopping,no_auto,hov3,407,2.8441649196366177
1,shopping,no_auto,ride_hail,153,1.069182389937107
1,shopping,no_auto,ride_hail_pooled,17,0.11879804332634522
1,shopping,no_auto,walk,5609,39.196366177498255
1,shopping,no_auto,walk_transit,5504,38.46261355695318
1,social,auto_deficient,bike,19,2.6462395543175488
1,social,auto_deficient,bike_transit,16,2.2284122562674096
1,social,auto_deficient,car,199,27.715877437325904
1,social,auto_deficient,hov2,55,7.66016713091922
1,social,auto_deficient,hov3,130,18.105849582172702
1,social,auto_deficient,ride_hail,4,0.5571030640668524
1,social,auto_deficient,ride_hail_pooled,1,0.1392757660167131
1,social,auto_deficient,walk,217,30.22284122562674
1,social,auto_deficient,walk_transit,77,10.724233983286908
1,social,auto_sufficient,bike,364,2.839535065137686
1,social,auto_sufficient,bike_transit,96,0.7488883688275216
1,social,auto_sufficient,car,6975,54.41142054762462
1,social,auto_sufficient,drive_transit,10,0.07800920508620017
1,social,auto_sufficient,hov2,810,6.318745611982214
1,social,auto_sufficient,hov3,1949,15.203994071300414
1,social,auto_sufficient,ride_hail,11,0.08581012559482018
1,social,auto_sufficient,ride_hail_pooled,3,0.02340276152586005
1,social,auto_sufficient,walk,2122,16.553553319291677
1,social,auto_sufficient,walk_transit,479,3.736640923628988
1,social,no_auto,bike,287,7.700563455862625
1,social,no_auto,bike_transit,141,3.783203649047491
1,social,no_auto,hov2,307,8.237188086933191
1,social,no_auto,hov3,70,1.8781862087469816
1,social,no_auto,ride_hail,31,0.8317681781593774
1,social,no_auto,ride_hail_pooled,3,0.08049369466058491
1,social,no_auto,walk,1791,48.054735712369194
1,social,no_auto,walk_transit,1097,29.433861014220554
1,univ,auto_deficient,bike,24,2.2388059701492535
1,univ,auto_deficient,bike_transit,10,0.9328358208955223
1,univ,auto_deficient,car,313,29.19776119402985
1,univ,auto_deficient,drive_transit,1,0.09328358208955223
1,univ,auto_deficient,hov2,118,11.007462686567164
1,univ,auto_deficient,hov3,103,9.60820895522388
1,univ,auto_deficient,ride_hail,1,0.09328358208955223
1,univ,auto_deficient,ride_hail_pooled,2,0.18656716417910446
1,univ,auto_deficient,ride_hail_transit,1,0.09328358208955223
1,univ,auto_deficient,walk,331,30.87686567164179
1,univ,auto_deficient,walk_transit,168,15.671641791044777
1,univ,auto_sufficient,bike,226,2.653516496418927
1,univ,auto_sufficient,bike_transit,115,1.3502406950804273
1,univ,auto_sufficient,car,3778,44.35834213925091
1,univ,auto_sufficient,drive_transit,40,0.4696489374192791
1,univ,auto_sufficient,hov2,1114,13.079722907126923
1,univ,auto_sufficient,hov3,937,11.001526359046613
1,univ,auto_sufficient,ride_hail,25,0.29353058588704944
1,univ,auto_sufficient,ride_hail_pooled,8,0.09392978748385582
1,univ,auto_sufficient,walk,1522,17.870142068803567
1,univ,auto_sufficient,walk_transit,752,8.829400023482446
1,univ,no_auto,bike,164,4.038414183698596
1,univ,no_auto,bike_transit,110,2.708692440285644
1,univ,no_auto,hov2,319,7.855208076828367
1,univ,no_auto,hov3,76,1.8714602314700814
1,univ,no_auto,ride_hail,11,0.2708692440285644
1,univ,no_auto,walk,951,23.417877370105884
1,univ,no_auto,walk_transit,2430,59.83747845358286
1,work,auto_deficient,bike,607,4.412299193138039
1,work,auto_deficient,bike_transit,213,1.5483026822708439
1,work,auto_deficient,car,4616,33.553827142545614
1,work,auto_deficient,drive_transit,30,0.21807080031983717
1,work,auto_deficient,hov2,2144,15.584793196191029
1,work,auto_deficient,hov3,1339,9.733226720942065
1,work,auto_deficient,ride_hail,44,0.3198371738024279
1,work,auto_deficient,ride_hail_pooled,5,0.03634513338663953
1,work,auto_deficient,walk,3237,23.529839354510433
1,work,auto_deficient,walk_transit,1522,11.063458602893073
1,work,auto_sufficient,bike,2230,1.9531763201457437
1,work,auto_sufficient,bike_transit,666,0.5833253045816437
1,work,auto_sufficient,car,75566,66.18552547449923
1,work,auto_sufficient,drive_transit,278,0.2434901421526981
1,work,auto_sufficient,hov2,10078,8.826955584945653
1,work,auto_sufficient,hov3,8349,7.312587038967182
1,work,auto_sufficient,ride_hail,70,0.0613104674485211
1,work,auto_sufficient,ride_hail_pooled,14,0.01226209348970422
1,work,auto_sufficient,ride_hail_transit,4,0.0035034552827726342
1,work,auto_sufficient,walk,12649,11.078801467947763
1,work,auto_sufficient,walk_transit,4269,3.7390626505390943
1,work,no_auto,bike,1408,3.5500869872166616
1,work,no_auto,bike_transit,1447,3.6484203625728044
1,work,no_auto,hov2,6325,15.947656387887346
1,work,no_auto,hov3,3244,8.179319734752024
1,work,no_auto,ride_hail,521,1.3136330400141196
1,work,no_auto,ride_hail_pooled,10,0.025213685988754692
1,work,no_auto,walk,11016,27.775396485212173
1,work,no_auto,walk_transit,15690,39.56027331635612
2,atwork,auto_deficient,bike,97,3.3715676051442474
2,atwork,auto_deficient,bike_transit,24,0.8342022940563086
2,atwork,auto_deficient,car,1269,44.10844629822732
2,atwork,auto_deficient,drive_transit,7,0.24330900243309003
2,atwork,auto_deficient,hov2,352,12.234966979492528
2,atwork,auto_deficient,hov3,263,9.141466805700382
2,atwork,auto_deficient,ride_hail,8,0.2780674313521029
2,atwork,auto_deficient,walk,547,19.012860618700035
2,atwork,auto_deficient,walk_transit,310,10.775112964893987
2,atwork,auto_sufficient,bike,447,1.7399766446087972
2,atwork,auto_sufficient,bike_transit,79,0.30751265083690155
2,atwork,auto_sufficient,car,17393,67.7033865317244
2,atwork,auto_sufficient,drive_transit,74,0.288049824834566
2,atwork,auto_sufficient,hov2,2360,9.186453873102375
2,atwork,auto_sufficient,hov3,1809,7.041650447644998
2,atwork,auto_sufficient,ride_hail,15,0.05838847800700662
2,atwork,auto_sufficient,ride_hail_pooled,6,0.023355391202802646
2,atwork,auto_sufficient,walk,2540,9.887115609186454
